open_ns,append_ns,read_ns,close_ns
000005273472000,000009120146625,000003840110875,000000000059625
000005269985625,000008640150750,000003840108250,000000000048000
000005270011375,000008640169250,000003840110750,000000000046750
000005270002000,000008640174375,000003840112625,000000000045375
000005270012750,000008640163875,000003840107000,000000000044375
000005270010375,000008640168625,000003840112125,000000000056625
000005269991375,000008640173875,000003840118750,000000000055500
000005269994375,000008640150625,000003840114125,000000000047875
000005270010875,000008640156375,000003840113750,000000000044875
000005270000375,000008640177250,000003840108375,000000000049500
000005270001750,000008640165875,000003840118250,000000000046250
000005270012750,000008640169750,000003840118500,000000000045625
000005270008875,000008640153375,000003840111625,000000000046125
000005270005125,000008640156375,000003840115375,000000000048125
000005270016750,000008640165875,000003840111375,000000000057000
000005270002750,000008640165125,000003840109750,000000000058000
000005749999375,000008640164750,000003840112375,000000000048625
000005750026125,000008640164375,000003840111500,000000000047250
000005750015875,000008640159500,000003840105375,000000000048625
000005750014250,000008640153000,000003840109625,000000000048125
000005750016000,000008640161000,000003840109500,000000000055500
000005750002875,000008640173000,000003840109625,000000000055875
000005750002625,000008640161375,000003840108875,000000000044625
000005750018625,000008640165500,000003840109125,000000000056625
000005750017375,000008640154125,000003840109000,000000000057250
000005750013500,000008640157000,000003840103500,000000000046875
000005750023500,000008640162500,000003840105625,000000000056500
000005750015500,000008640165500,000003840112125,000000000056000
000005750002125,000008640163750,000003840098500,000000000056750
000005750012375,000008640147000,000003840118500,000000000047375
