creation_ns,append_ns,find_ns,deletion_ns,reading_large_file_ns_40961B
000002390185250,000003120111625,000000240007375,000031680855000,19674615250
000002391755000,000002880069750,000000240004750,000031680841125,19436717875
000002391758875,000002880088750,000000240012375,000031680809250,19436765250
000002391754875,000002880078250,000000240003625,000031680805750,19436783625
000002391763000,000002880065000,000000240035875,000031680818875,19436749875
000002391734375,000002880079000,000000240019750,000031680830125,19436763875
000002391754000,000002880079625,000000240001000,000031680825000,19436742375
000002391744250,000002880077125,000000240022375,000031680808500,19436768000
000002391758625,000002880083250,000000240020000,000031680829000,19436756500
000002391738875,000002880098875,000000240017125,000031680798625,19436779250
000002391779875,000002880071375,000000239986625,000031680839000,19436732125
000002391751500,000002880079750,000000240018000,000031680825000,19436669250
000002391742625,000002880089875,000000240009000,000031680824000,19436673125
000002391765250,000002880048375,000000240020625,000031680825375,19436666375
000002391775250,000002880081375,000000240001000,000031680842625,19436672750
000002391751375,000002880079750,000000239986125,000031680821125,19436681000
000002391747625,000002880064250,000000240016375,000031680821250,19436701250
000002391769000,000002880086625,000000240015875,000031680799625,19436636500
000002391774375,000002880084000,000000239983625,000031680820000,19436665875
000002391761375,000002880096750,000000240002625,000031680826000,19436685375
000002391742000,000002880078750,000000239994625,000031680816125,19436675875
000002391748625,000002880074125,000000240031250,000031680812625,19436670375
000002391750375,000002880076000,000000240005625,000031680804250,19436664125
000002391765250,000002880089125,000000239995250,000031680806875,19436688875
000002391765750,000002880054750,000000240033000,000031680799000,19436681250
000002391785875,000002880067750,000000240013125,000031680808625,19436681625
000002391761375,000002880063250,000000240024375,000031680811875,19436641000
000002391767625,000002880080625,000000240001750,000031680808625,19436677875
000002391769250,000002880066875,000000240010625,000031680799875,19436661750
000002391736125,000002880076625,000000240025625,000031680808750,19436674125
