first_read_ns,second_read_ns
2160025125,1920055875
2160030750,1920051375
2160032000,1920034625
1920053875,1920019500
2160072875,1920028125
2160049375,1920037750
2160043250,1920049250
2160028625,1920058500
2160043250,1920054125
2160030875,1920061750
2160020500,1920057750
2160033125,1920068000
2160038000,1920042625
2160059000,1920056250
2160045125,1920043000
2160030875,1920040750
2160033375,1920062250
2160027500,1920049000
2160044375,1920055250
2160047000,1920065000
2160044625,1920062500
1920037750,1920059625
2160040000,1920034625
2160054125,1920052750
2160030125,1920066875
2160040500,1920024500
2160040875,1920049000
2160040125,1920028375
2160032125,1920043000
2160015750,1920070250
