blksize,read_ns,write_ns
512,423423875,480021250
512,475265875,480025000
512,475266000,480021625
512,475272500,480021125
512,475269625,480022125
512,475276125,480021000
512,475273250,480020125
512,475265625,480022875
512,475272750,480024375
512,475270500,480023125
512,475269875,480021500
512,475275750,480021500
512,475273125,480021875
512,475269375,480021750
512,475275000,480023375
512,475273000,480023125
512,475270625,480022500
512,475267250,480023875
512,475274375,480021625
512,475271625,480024500
512,475270500,480023375
512,475270000,480021875
512,475264500,480024750
512,475273125,480022875
512,475270625,480022000
512,475268125,480023500
512,475273750,480020875
512,475269750,480024500
512,475269125,480024000
512,475269375,480020500
